ts,gx,gy,gz
2025-09-07T01:47:04.883+00:00,1.098633,-0.366211,-0.183105
2025-09-07T01:47:05.133+00:00,1.77002,-0.427246,-0.183105
2025-09-07T01:47:05.392+00:00,1.098633,-0.366211,-0.244141
2025-09-07T01:47:05.704+00:00,-0.488281,-0.366211,-0.183105
2025-09-07T01:47:05.970+00:00,-2.563477,-0.305176,-0.183105
2025-09-07T01:47:06.239+00:00,-2.807617,-0.305176,-0.183105
2025-09-07T01:47:06.482+00:00,-1.831055,-0.305176,-0.183105
2025-09-07T01:47:06.724+00:00,0.12207,-0.366211,-0.12207
2025-09-07T01:47:06.980+00:00,1.525879,-0.427246,-0.183105
2025-09-07T01:47:07.239+00:00,1.647949,-0.427246,-0.183105
2025-09-07T01:47:07.497+00:00,0.427246,-0.366211,-0.183105
2025-09-07T01:47:07.772+00:00,-0.793457,-0.366211,-0.183105
2025-09-07T01:47:08.073+00:00,-1.647949,-0.305176,-0.183105
2025-09-07T01:47:08.332+00:00,-1.708984,-0.305176,-0.183105
2025-09-07T01:47:08.581+00:00,-1.098633,-0.305176,-0.244141
2025-09-07T01:47:08.841+00:00,0.854492,-0.366211,-0.183105
2025-09-07T01:47:09.087+00:00,-0.427246,-0.366211,-0.183105
2025-09-07T01:47:09.353+00:00,0.366211,-0.366211,-0.183105
2025-09-07T01:47:09.606+00:00,-2.990723,-0.244141,-0.183105
2025-09-07T01:47:09.861+00:00,-0.244141,-0.427246,-0.12207
2025-09-07T01:47:10.119+00:00,-1.77002,-0.305176,-0.244141
2025-09-07T01:47:10.444+00:00,1.525879,-0.366211,-0.183105
2025-09-07T01:47:10.697+00:00,0.366211,-0.366211,-0.183105
2025-09-07T01:47:10.959+00:00,2.319336,-0.427246,-0.12207
2025-09-07T01:47:11.223+00:00,-0.854492,-0.305176,-0.183105
2025-09-07T01:47:11.473+00:00,-1.159668,-0.305176,-0.183105
2025-09-07T01:47:11.737+00:00,-3.845215,-0.305176,-0.244141
2025-09-07T01:47:11.980+00:00,-1.525879,-0.305176,-0.183105
2025-09-07T01:47:12.225+00:00,-0.061035,-0.305176,-0.12207
2025-09-07T01:47:12.527+00:00,1.464844,-0.366211,-0.183105
2025-09-07T01:47:12.795+00:00,1.89209,-0.366211,-0.183105
2025-09-07T01:47:13.518+00:00,0.915527,-0.366211,-0.12207
2025-09-07T01:47:13.781+00:00,-0.915527,-0.366211,-0.183105
2025-09-07T01:47:14.050+00:00,-2.075195,-0.366211,-0.183105
2025-09-07T01:47:14.305+00:00,-2.563477,-0.305176,-0.183105
2025-09-07T01:47:14.558+00:00,-0.793457,-0.305176,-0.183105
2025-09-07T01:47:14.810+00:00,0.061035,-0.366211,-0.183105
2025-09-07T01:47:15.135+00:00,1.525879,-0.366211,-0.244141
2025-09-07T01:47:15.375+00:00,0.244141,-0.366211,-0.12207
2025-09-07T01:47:15.632+00:00,-1.159668,-0.427246,-0.183105
2025-09-07T01:47:15.890+00:00,-2.13623,-0.366211,-0.183105
2025-09-07T01:47:16.167+00:00,-2.258301,-0.305176,-0.244141
2025-09-07T01:47:16.417+00:00,-0.793457,-0.305176,-0.183105
2025-09-07T01:47:16.657+00:00,0.854492,-0.366211,-0.183105
2025-09-07T01:47:16.909+00:00,1.586914,-0.366211,-0.183105
2025-09-07T01:47:17.148+00:00,1.403809,-0.366211,-0.183105
2025-09-07T01:47:17.397+00:00,-0.671387,-0.427246,-0.244141
2025-09-07T01:47:17.730+00:00,-1.098633,-0.366211,-0.183105
2025-09-07T01:47:17.976+00:00,-3.051758,-0.305176,-0.183105
2025-09-07T01:47:18.233+00:00,-1.647949,-0.366211,-0.183105
2025-09-07T01:47:18.503+00:00,0.061035,-0.366211,-0.244141
2025-09-07T01:47:18.761+00:00,1.098633,-0.366211,-0.183105
2025-09-07T01:47:19.002+00:00,0.976562,-0.366211,-0.12207
2025-09-07T01:47:19.240+00:00,0.244141,-0.366211,-0.183105
2025-09-07T01:47:19.497+00:00,-1.098633,-0.366211,-0.183105
2025-09-07T01:47:19.753+00:00,-1.525879,-0.305176,-0.183105
2025-09-07T01:47:20.066+00:00,-1.89209,-0.305176,-0.183105
2025-09-07T01:47:20.333+00:00,-0.427246,-0.366211,-0.183105
2025-09-07T01:47:20.595+00:00,0.244141,-0.366211,-0.183105
2025-09-07T01:47:20.857+00:00,0.915527,-0.366211,-0.183105
2025-09-07T01:47:21.217+00:00,0.366211,-0.366211,-0.244141
2025-09-07T01:47:21.485+00:00,-1.281738,-0.366211,-0.183105
2025-09-07T01:47:21.739+00:00,-1.220703,-0.305176,-0.183105
2025-09-07T01:47:21.992+00:00,-1.464844,-0.305176,-0.183105
2025-09-07T01:47:22.242+00:00,-0.305176,-0.305176,-0.244141
2025-09-07T01:47:22.500+00:00,0.549316,-0.366211,-0.12207
2025-09-07T01:47:22.751+00:00,0.976562,-0.366211,-0.183105
2025-09-07T01:47:23.017+00:00,0.244141,-0.305176,-0.183105
2025-09-07T01:47:23.321+00:00,-0.732422,-0.305176,-0.183105
2025-09-07T01:47:23.573+00:00,-1.464844,-0.305176,-0.183105
2025-09-07T01:47:23.820+00:00,-1.464844,-0.305176,-0.183105
2025-09-07T01:47:24.082+00:00,-1.159668,-0.305176,-0.183105
2025-09-07T01:47:24.418+00:00,-0.244141,-0.366211,-0.12207
2025-09-07T01:47:24.680+00:00,0.183105,-0.366211,-0.12207
2025-09-07T01:47:24.954+00:00,0.244141,-0.366211,-0.12207
2025-09-07T01:47:25.213+00:00,-0.549316,-0.305176,-0.183105
